,Equipo,num_temp,HF,HY,HR,AF,AY,AR,YF_H,YF_A,MediaR_A,MediaR_H
0,Alaves,7,2049,376,17,2001,333,15,5.4,6.0,2.1,2.4
1,Almeria,7,2143,347,24,2034,328,26,6.2,6.2,3.7,3.4
2,Ath Bilbao,18,5098,820,48,5092,870,56,6.2,5.9,3.1,2.7
3,Ath Madrid,18,5068,843,50,5189,974,45,6.0,5.3,2.5,2.8
4,Barcelona,18,4064,578,30,4025,750,37,7.0,5.4,2.1,1.7
5,Betis,15,4252,713,58,4160,749,48,6.0,5.6,3.2,3.9
7,Celta,13,3443,571,30,3535,648,38,6.0,5.5,2.9,2.3
9,Eibar,7,1827,310,12,1890,315,15,5.9,6.0,2.1,1.7
11,Espanol,17,5202,814,44,5068,965,66,6.4,5.3,3.9,2.6
12,Getafe,17,5112,902,56,5101,1008,61,5.7,5.1,3.6,3.3
15,Granada,9,2470,471,33,2396,497,20,5.2,4.8,2.2,3.7
18,La Coruna,11,3046,483,26,3008,515,32,6.3,5.8,2.9,2.4
21,Levante,13,3784,657,45,3625,711,27,5.8,5.1,2.1,3.5
22,Malaga,11,3274,537,36,3213,582,50,6.1,5.5,4.5,3.3
23,Mallorca,11,3532,544,24,3375,552,44,6.5,6.1,4.0,2.2
26,Osasuna,14,4264,678,44,4142,700,55,6.3,5.9,3.9,3.1
27,Real Madrid,18,4564,669,39,4586,845,52,6.8,5.4,2.9,2.2
29,Santander,7,2504,349,25,2426,399,33,7.2,6.1,4.7,3.6
30,Sevilla,18,5071,855,48,5011,962,80,5.9,5.2,4.4,2.7
31,Sociedad,15,4004,593,24,3898,637,31,6.8,6.1,2.1,1.6
32,Sp Gijon,6,1863,331,11,1795,312,21,5.6,5.8,3.5,1.8
34,Valencia,18,5184,827,43,5115,992,78,6.3,5.2,4.3,2.4
35,Valladolid,9,2423,373,15,2462,414,28,6.5,5.9,3.1,1.7
36,Vallecano,8,2246,412,24,2238,455,26,5.5,4.9,3.2,3.0
37,Villarreal,17,4504,716,30,4545,826,40,6.3,5.5,2.4,1.8
39,Zaragoza,7,2350,370,27,2305,419,31,6.4,5.5,4.4,3.9
